operon_name,content
operon_0,"('thrB', 'thrC', 'thrA')"
operon_1,"('talB', 'mog')"
operon_2,"('talB', 'rrlD', 'mog')"
operon_3,"('dnaK', 'dnaJ')"
operon_4,"('hokC', 'mokC')"
operon_5,"('nhaA', 'nhaR')"
operon_6,"('ribF', 'ileS')"
operon_7,"('lspA', 'ileS')"
operon_8,"('fkpB', 'lspA', 'ispH')"
operon_9,"('kefC', 'kefF')"
operon_10,"('kefC', 'rrlH')"
operon_11,"('apaG', 'rsmA', 'apaH')"
operon_12,"('pdxA', 'apaG', 'rsmA', 'apaH')"
operon_13,"('pdxA', 'apaG', 'rsmA')"
operon_14,"('surA', 'pdxA', 'apaG', 'rsmA')"
operon_15,"('apaG', 'rsmA')"
operon_16,"('pdxA', 'rsmA')"
operon_17,"('surA', 'pdxA')"
operon_18,"('surA', 'pdxA', 'lptD')"
operon_19,"('surA', 'lptD')"
operon_20,"('yabP', 'yabQ')"
operon_21,"('rapA', 'rluA')"
operon_22,"('ilvI', 'ilvH')"
operon_23,"('cra', 'mraZ')"
operon_24,"('rsmH', 'mraZ', 'ftsL')"
operon_25,"('rsmH', 'mraZ')"
operon_26,"('rsmH', 'ftsL')"
operon_27,"('ftsI', 'rsmH', 'ftsL')"
operon_28,"('ftsI', 'ftsO', 'rsmH', 'ftsL')"
operon_29,"('ftsI', 'ftsL')"
operon_30,"('ftsO', 'ftsI', 'murE')"
operon_31,"('ftsI', 'murE')"
operon_32,"('mraY', 'murF', 'murE')"
operon_33,"('murF', 'murE')"
operon_34,"('mraY', 'murF', 'murD')"
operon_35,"('mraY', 'murF')"
operon_36,"('mraY', 'ftsW', 'murD')"
operon_37,"('ftsW', 'murD')"
operon_38,"('ftsW', 'murG')"
operon_39,"('murG', 'murC')"
operon_40,"('murC', 'ddlB', 'ftsQ')"
operon_41,"('ddlB', 'ftsQ')"
operon_42,"('ftsA', 'ftsQ')"
operon_43,"('ftsZ', 'ftsA', 'ftsQ')"
operon_44,"('ftsA', 'ftsZ')"
operon_45,"('ftsA', 'lpxC', 'ftsZ')"
operon_46,"('lpxC', 'ftsZ')"
operon_47,"('lpxC', 'secM')"
operon_48,"('secA', 'secM')"
operon_49,"('secA', 'mutT')"
operon_50,"('yacG', 'zapD')"
operon_51,"('yacG', 'zapD', 'coaE')"
operon_52,"('zapD', 'coaE')"
operon_53,"('aceE', 'aceF', 'lpd')"
operon_54,"('aceE', 'aceF')"
operon_55,"('aceF', 'lpd')"
operon_56,"('aceF', 'rrlA')"
operon_57,"('speE', 'speD')"
operon_58,"('speE', 'yacC')"
operon_59,"('panC', 'panB')"
operon_60,"('pcnB', 'folK')"
operon_61,"('dksA', 'sfsA', 'gluQ')"
operon_62,"('dksA', 'sfsA')"
operon_63,"('yadW', 'clcA')"
operon_64,"('erpA', 'yadW')"
operon_65,"('btuF', 'yadS')"
operon_66,"('btuF', 'mtn')"
operon_67,"('map', 'glnD')"
operon_68,"('tff', 'rpsB')"
operon_69,"('tsf', 'tff', 'rpsB')"
operon_70,"('tsf', 'rpsB')"
operon_71,"('tsf', 'rpsB', 'pyrH', 'frr')"
operon_72,"('tsf', 'pyrH')"
operon_73,"('dxr', 'ispZ', 'ispU')"
operon_74,"('cdsA', 'ispZ', 'ispU')"
operon_75,"('ispZ', 'ispU')"
operon_76,"('rseP', 'cdsA', 'ispZ', 'ispU')"
operon_77,"('cdsA', 'ispU')"
operon_78,"('rseP', 'cdsA')"
operon_79,"('rseP', 'bamA')"
operon_80,"('skp', 'bamA')"
operon_81,"('skp', 'lpxD', 'bamA')"
operon_82,"('skp', 'lpxD')"
operon_83,"('lpxD', 'fabZ', 'lpxB', 'lpxA', 'skp')"
operon_84,"('lpxA', 'lpxD', 'fabZ')"
operon_85,"('lpxA', 'fabZ')"
operon_86,"('lpxA', 'fabZ', 'lpxB')"
operon_87,"('lpxA', 'lpxB')"
operon_88,"('lpxB', 'dnaE', 'rnhB')"
operon_89,"('accA', 'dnaE')"
operon_90,"('yaeR', 'ldcC')"
operon_91,"('yaeR', 'ldcC', 'tilS')"
operon_92,"('yaeP', 'rof')"
operon_93,"('yaeQ', 'arfB')"
operon_94,"('nlpE', 'yaeQ', 'arfB')"
operon_95,"('nlpE', 'arfB')"
operon_96,"('proS', 'yaeF')"
operon_97,"('trmO', 'rcsF')"
operon_98,"('rrlG', 'rrsH')"
operon_99,"('ileV', 'rrsH', 'alaV')"
operon_100,"('rrsH', 'rrlH')"
operon_101,"('rrsD', 'rrsH')"
operon_102,"('rrsE', 'rrsH')"
operon_103,"('rrlE', 'rrsH')"
operon_104,"('rrsC', 'rrsH')"
operon_105,"('rrsH', 'rrsB')"
operon_106,"('rrlB', 'rrsH')"
operon_107,"('rrsH', 'rrlA')"
operon_108,"('rrsH', 'rrlC')"
operon_109,"('ileV', 'rrsH', 'alaV', 'rrlH')"
operon_110,"('rrsH', 'rrlD')"
operon_111,"('rrsA', 'rrsH')"
operon_112,"('frdD', 'frdC', 'rrsH')"
operon_113,"('rrsG', 'rrsH')"
operon_114,"('rpsE', 'rplF', 'rrsH', 'rpsN', 'rplO', 'rpmD', 'rplX', 'rplE', 'rpsH', 'rplN', 'rplR')"
operon_115,"('ileV', 'alaV')"
operon_116,"('ileV', 'rrlH', 'alaV')"
operon_117,"('rrlH', 'rrfH')"
operon_118,"('rrsC', 'rrlH')"
operon_119,"('rrlB', 'rrlH')"
operon_120,"('lysT', 'lysW', 'valT', 'rrlH')"
operon_121,"('rrlE', 'rrlH')"
operon_122,"('rrlH', 'rrlA')"
operon_123,"('rrlH', 'rrlC')"
operon_124,"('rrsD', 'rrlH')"
operon_125,"('rrlH', 'rrsB')"
operon_126,"('rrsE', 'rrlH')"
operon_127,"('rrlG', 'rrlH')"
operon_128,"('rrlH', 'rrlD')"
operon_129,"('acpP', 'rrlH')"
operon_130,"('rrfC', 'rrlH')"
operon_131,"('zapB', 'rrlH')"
operon_132,"('rrsG', 'rrlH')"
operon_133,"('rrlH', 'tabA')"
operon_134,"('ptsI', 'rrlH', 'ptsH')"
operon_135,"('ompC', 'rrlH')"
operon_136,"('rrsA', 'rrlH')"
operon_137,"('tnaA', 'rrlH')"
operon_138,"('bamC', 'rrlH', 'dapA')"
operon_139,"('rrlH', 'rrfA')"
operon_140,"('srlD', 'rrlH')"
operon_141,"('ssrA', 'rrlH')"
operon_142,"('aspU', 'rrfH')"
operon_143,"('yafD', 'yafE')"
operon_144,"('mltD', 'gloB')"
operon_145,"('yafJ', 'gmhA')"
operon_146,"('dinJ', 'dpaA', 'yafQ')"
operon_147,"('dinJ', 'yafQ')"
operon_148,"('yafP', 'yafO')"
operon_149,"('proA', 'proB')"
operon_150,"('ykfC', 'eyeA')"
operon_151,"('xynR', 'argF')"
operon_152,"('insB3', 'insA3')"
operon_153,"('yagN', 'ykgV')"
operon_154,"('ecpE', 'ecpD')"
operon_155,"('rclB', 'rclC')"
operon_156,"('ykgF', 'ykgG', 'ykgE')"
operon_157,"('ykgF', 'ykgE')"
operon_158,"('ykgF', 'ykgG')"
operon_159,"('betB', 'betA')"
operon_160,"('betB', 'betI')"
operon_161,"('insI3', 'mhpD', 'mhpC')"
operon_162,"('frmB', 'frmR', 'frmA')"
operon_163,"('frmR', 'frmA')"
operon_164,"('sbmA', 'yaiW')"
operon_165,"('yaiI', 'aroL')"
operon_166,"('yaiA', 'yaiI', 'aroL')"
operon_167,"('yaiA', 'aroL')"
operon_168,"('yaiA', 'aroM')"
operon_169,"('queA', 'tgt', 'yajC')"
operon_170,"('tgt', 'yajC')"
operon_171,"('yajC', 'secD')"
operon_172,"('secF', 'secD')"
operon_173,"('ribD', 'nrdR')"
operon_174,"('ribD', 'nrdR', 'ribE', 'nusB')"
operon_175,"('ribD', 'ribE', 'nusB')"
operon_176,"('ribE', 'nusB')"
operon_177,"('rrsG', 'ribE')"
operon_178,"('dxs', 'ispA')"
operon_179,"('xseB', 'ispA')"
operon_180,"('panE', 'yajL')"
operon_181,"('cyoC', 'cyoD', 'cyoB', 'cyoE')"
operon_182,"('cyoC', 'cyoD', 'cyoE')"
operon_183,"('cyoC', 'cyoA', 'cyoB')"
operon_184,"('cyoA', 'cyoB')"
operon_185,"('ttcA', 'yajG')"
operon_186,"('tig', 'clpX', 'clpP')"
operon_187,"('clpX', 'clpP')"
operon_188,"('hupB', 'lon')"
operon_189,"('hupB', 'ppiD')"
operon_190,"('ppiD', 'rrfD')"
operon_191,"('ybaY', 'rrlD')"
operon_192,"('pdeB', 'ylaC')"
operon_193,"('maa', 'ylaC')"
operon_194,"('hha', 'maa')"
operon_195,"('hha', 'tomB')"
operon_196,"('acrB', 'acrA')"
operon_197,"('priC', 'ybaM')"
operon_198,"('ybaN', 'apt')"
operon_199,"('rrsE', 'dnaX')"
operon_200,"('recR', 'ybaB', 'dnaX')"
operon_201,"('rrsD', 'tesA')"
operon_202,"('ybbP', 'ybbA')"
operon_203,"('allZ', 'allR')"
operon_204,"('lpxH', 'ppiB')"
operon_205,"('folD', 'ybcJ')"
operon_206,"('nfrB', 'nfrA')"
operon_207,"('nfsB', 'ybdF')"
operon_208,"('ahpC', 'ahpF')"
operon_209,"('ahpC', 'tatB', 'tatC')"
operon_210,"('rnk', 'rna')"
operon_211,"('citE', 'citF')"
operon_212,"('dpiB', 'dpiA')"
operon_213,"('cspE', 'rrlC')"
operon_214,"('mrdB', 'rlpA')"
operon_215,"('mrdB', 'mrdA')"
operon_216,"('rlmH', 'mrdA', 'rsfS')"
operon_217,"('rlmH', 'mrdA')"
operon_218,"('rlmH', 'rsfS')"
operon_219,"('nadD', 'holA')"
operon_220,"('lptE', 'holA')"
operon_221,"('lptE', 'holA', 'leuS')"
operon_222,"('lptE', 'leuS')"
operon_223,"('rrlG', 'gltJ', 'gltK')"
operon_224,"('gltI', 'gltJ', 'sroC', 'insH3')"
operon_225,"('gltI', 'insH3')"
operon_226,"('ybeX', 'lnt')"
operon_227,"('ybeX', 'ybeY')"
operon_228,"('ybeZ', 'ybeY')"
operon_229,"('ybeZ', 'miaB')"
operon_230,"('leuW', 'glnW', 'glnU', 'glnV', 'metT', 'glnX', 'metU')"
operon_231,"('leuW', 'glnW', 'glnU', 'glnV', 'metT', 'metU')"
operon_232,"('metU', 'glnV')"
operon_233,"('leuW', 'glnW', 'glnU', 'glnV', 'metU')"
operon_234,"('leuW', 'glnU', 'glnW', 'metT', 'metU')"
operon_235,"('glnU', 'metU', 'glnW')"
operon_236,"('leuW', 'glnU', 'metU', 'glnW')"
operon_237,"('metU', 'glnW')"
operon_238,"('leuW', 'metT', 'glnU', 'glnW')"
operon_239,"('leuW', 'glnU', 'glnW')"
operon_240,"('leuW', 'glnU')"
operon_241,"('leuW', 'metT', 'glnU')"
operon_242,"('umpH', 'nagC')"
operon_243,"('nagA', 'nagB', 'nagC')"
operon_244,"('nagA', 'nagB')"
operon_245,"('uof', 'fur')"
operon_246,"('uof', 'rrlC', 'fur')"
operon_247,"('uof', 'fldA', 'fur')"
operon_248,"('seqA', 'pgm')"
operon_249,"('rrlA', 'pgm')"
operon_250,"('kdpC', 'kdpB', 'kdpD')"
operon_251,"('ybfA', 'rrlC')"
operon_252,"('ybgI', 'pxpB')"
operon_253,"('pxpC', 'ybgI', 'pxpB', 'pxpA')"
operon_254,"('pxpC', 'pxpB')"
operon_255,"('nei', 'pxpA')"
operon_256,"('sdhC', 'sdhA', 'sdhD')"
operon_257,"('sdhC', 'sdhB', 'sdhA', 'sdhD')"
operon_258,"('sdhB', 'sdhA')"
operon_259,"('sucB', 'sucA')"
operon_260,"('sucB', 'sucC', 'sucA', 'sucD')"
operon_261,"('sucB', 'sucC')"
operon_262,"('sucD', 'sucC')"
operon_263,"('sucD', 'sucC', 'sdhX')"
operon_264,"('cydA', 'ybgE', 'cydX', 'cydB')"
operon_265,"('cydA', 'cydX', 'cydB')"
operon_266,"('cydA', 'cydB')"
operon_267,"('cydA', 'cydX', 'rrsE', 'cydB')"
operon_268,"('cydX', 'cydB')"
operon_269,"('ybgE', 'cydX', 'cydB')"
operon_270,"('ybgE', 'cydX')"
operon_271,"('tolR', 'tolQ')"
operon_272,"('tolB', 'tolA', 'tolR')"
operon_273,"('tolA', 'tolR')"
operon_274,"('tolB', 'pal')"
operon_275,"('tolB', 'pal', 'cpoB')"
operon_276,"('lysY', 'cpoB', 'lysT', 'valT', 'valZ', 'tolB', 'pal', 'lysW')"
operon_277,"('pal', 'cpoB')"
operon_278,"('lysT', 'valT', 'lysW')"
operon_279,"('lysY', 'lysT', 'valT', 'valZ', 'lysZ', 'lysW')"
