operon_name,coverage_num,Sample
rrlC,35119,tot_RNA
rrlA,26274,tot_RNA
rrlH,26162,tot_RNA
rrlE,25468,tot_RNA
rrlG,24465,tot_RNA
rrlB,24288,tot_RNA
rrlD,22952,tot_RNA
rrsC,22049,tot_RNA
rrsA,19927,tot_RNA
rrsD,14394,tot_RNA
rrsG,13410,tot_RNA
rrsH,13219,tot_RNA
rrsE,12004,tot_RNA
rrsB,11970,tot_RNA
ssrA,1840,tot_RNA
rnpB,677,tot_RNA
tnaA,456,tot_RNA
lpp,449,tot_RNA
ompC,300,tot_RNA
operon_1389,267,tot_RNA
grcA,225,tot_RNA
dps,188,tot_RNA
ahpC,183,tot_RNA
rrfB,157,tot_RNA
ompA,118,tot_RNA
ansB,109,tot_RNA
rrfE,105,tot_RNA
tabA,103,tot_RNA
katG,103,tot_RNA
gatD,97,tot_RNA
pflB,96,tot_RNA
rrfA,92,tot_RNA
operon_1040,91,tot_RNA
rrfC,88,tot_RNA
operon_569,84,tot_RNA
cspA,84,tot_RNA
rrfH,78,tot_RNA
rrfG,76,tot_RNA
oppA,75,tot_RNA
fabB,75,tot_RNA
operon_1558,72,tot_RNA
hns,71,tot_RNA
rrfD,69,tot_RNA
rpsA,60,tot_RNA
operon_1342,58,tot_RNA
operon_362,56,tot_RNA
pck,56,tot_RNA
trxC,51,tot_RNA
operon_539,50,tot_RNA
operon_1372,50,tot_RNA
csrB,49,tot_RNA
tufA,49,tot_RNA
yfcZ,47,tot_RNA
operon_848,47,tot_RNA
sodB,47,tot_RNA
hdeA,47,tot_RNA
tufB,46,tot_RNA
operon_653,46,tot_RNA
talB,46,tot_RNA
adhE,46,tot_RNA
operon_659,45,tot_RNA
operon_1612,44,tot_RNA
gapA,44,tot_RNA
pdhR,43,tot_RNA
mdh,43,tot_RNA
rrfF,43,tot_RNA
crp,42,tot_RNA
gatB,42,tot_RNA
lpxC,42,tot_RNA
uspA,41,tot_RNA
tdcE,41,tot_RNA
serS,39,tot_RNA
acpP,39,tot_RNA
operon_1127,38,tot_RNA
aspA,36,tot_RNA
cspE,36,tot_RNA
dcuA,36,tot_RNA
operon_809,36,tot_RNA
clpA,35,tot_RNA
rpsO,35,tot_RNA
srlD,35,tot_RNA
tdcF,34,tot_RNA
operon_1614,33,tot_RNA
operon_1440,33,tot_RNA
operon_1128,33,tot_RNA
proP,33,tot_RNA
frdA,33,tot_RNA
operon_807,32,tot_RNA
malE,32,tot_RNA
purA,32,tot_RNA
ftnA,32,tot_RNA
operon_381,32,tot_RNA
