,read_id,start,end,Sample
0,a352fc19-fe66-47aa-8dec-42243c185e41,189661,190671,E Total RNA
1,9952a759-d5f6-4ec6-a7df-0cd7c605d7f0,189727,190771,E Total RNA
2,ca93b6b9-12bf-4a27-8967-222cd17abdf6,189728,191201,E Total RNA
3,a4dc804a-3695-4151-a4a8-6ecbc22b9a51,189728,191739,E Total RNA
4,7572b522-1b4c-42dd-8555-5de5ddb8775d,189731,191298,E Total RNA
5,9476eea5-3945-4a1c-b9ac-a55835edd3c3,189731,190926,E Total RNA
6,611f1466-bee1-497a-a67a-bd0b64e68662,189731,190643,E Total RNA
7,c65dfc56-1ca0-42ca-999a-49bc8f5e957d,189732,190507,E Total RNA
8,34722bdc-60fa-4472-b03a-d66dd6b724a6,189732,190793,E Total RNA
9,e6fa0878-8c0a-4110-8b88-21fe7938ee7f,189734,190838,E Total RNA
10,df3f9e9b-0f83-4e65-857e-c2a2c161f497,189734,190691,E Total RNA
11,3b111bf0-49de-45c6-a02e-8b467f7473ac,189736,190762,E Total RNA
12,dbfd93a6-d7dd-4ad3-9c09-94b588527533,189738,190285,E Total RNA
13,39b37919-c22d-4521-8ddc-9a20f4c97d78,189738,190247,E Total RNA
14,04dc7197-7db6-4059-aee1-85538f6899ae,189745,190756,E Total RNA
15,269dd539-300e-47a3-b7cd-ee26c2381727,189750,190761,E Total RNA
16,8c94e3cc-7cfa-4350-b7e5-43c4b6cfccc2,189760,190657,E Total RNA
17,6096f984-b2a4-4049-8689-4bb761da41c0,189766,190545,E Total RNA
18,18171ba9-64b8-47e0-bd72-050783787b50,189781,190445,E Total RNA
19,9deb04c4-81dd-455f-a334-25dcdb64e594,189794,191724,E Total RNA
20,ccc66fa6-6ef5-4811-bdd5-ad5926bce6db,189794,190763,E Total RNA
21,01b6bc0c-f63e-459d-9c14-88f5d7881180,189794,191709,E Total RNA
22,e959dc4c-f9eb-4708-80f8-85a380006fc3,189802,190234,E Total RNA
23,aaf6178a-2a56-4d94-b189-c9065e438617,189803,191525,E Total RNA
24,d1a6249a-1890-4745-acba-efc1ef00824a,189817,191814,E Total RNA
