gene,tot_RNA,rd_RNA_1,rd_RNA_2,ss_rd_RNA,IVT_neg,IVT_pos,NGS_116,NGS_117,type,length
thrA,16.529005095501645,16.525131979098756,66.9856233390869,73.40572316173898,58.251351227743335,9.910291456703785,34.32194657283894,32.342055534401545,mRNA,2463
thrB,21.817223767535133,43.62422300591666,70.73337204037344,88.81659778586075,74.96583661419268,13.080947405070429,28.005343953061274,47.9525142643479,mRNA,933
thrC,15.816215831476518,105.41673158383901,153.83271821367927,34.46973184771592,86.39598718515708,104.31217033274115,90.76296581304763,49.176613354955215,mRNA,1287
yaaX,0.0,45.68058368633024,111.10140759876836,11.27311984956747,54.34586290679236,20.54633658069143,25.87540692038638,33.06703311798713,mRNA,297
yaaA,288.17267377891,52.38275426579182,84.93466681295806,18.313379060639047,43.85438358115677,7.853619001885915,85.05915618539369,105.32935259590495,mRNA,777
talB,1024.1745798797624,924.3853962941354,1487.291484742003,400.0894044723852,2242.7067890749568,492.530577844688,1118.1105080956395,1136.9652204782117,mRNA,954
mog,173.09072938018946,161.51349231952474,56.117547715704426,68.32891010860283,265.3519938867362,51.88998269103194,219.57131015299302,163.31065335822217,mRNA,588
dnaK,116.80238264278198,580.3364293671815,3373.7272504640086,187.7530172128667,4372.673232378439,2479.7402557738715,2786.9635465011092,4342.079209489929,mRNA,1917
dnaJ,53.99328852814397,179.93545563448384,466.8027311311646,162.81734106338163,1235.2511916400629,161.86371258528794,536.794582292684,666.6910311135813,mRNA,1131
insL1,18.288831783567186,146.2763704025885,177.88203804223292,57.90767696310838,512.4038502640423,54.82715152259978,133.95230870968757,123.53344447851795,mRNA,1113
mokC,96.93080845290609,64.60539692780992,157.1291336039724,286.9814224561319,367.2227593558969,116.23356122791155,36.59521835883216,83.13996898236766,mRNA,210
hokC,133.04228611183188,88.67407421464105,215.6674382799621,382.9545125367773,492.30958162623676,159.53626050889818,50.228731080750045,85.5852621877314,mRNA,153
nhaA,52.32768579719865,127.88214816044635,197.92615801014517,50.207403957263864,72.22830622830757,41.832130004903895,76.3889905073823,89.76551920975426,mRNA,1167
rpsT,2313.1215653534405,10072.568702835815,2999.7380051667456,3608.102921852189,611.390957701414,11441.741183372542,4366.4749178152015,3339.7703449166997,mRNA,264
ribF,151.26145268128658,129.62229319910904,245.2015142227595,166.16183740051162,150.40304097453043,58.30186590253524,252.90326063269367,256.0062341077284,mRNA,942
